Date,Open,High,Low,Close,Adj Close,Volume
18/03/2004,18.379999,19.23,18.35,18.530001,18.530001,0
19/03/2004,17.98,19.25,17.889999,19.15,19.15,0
22/03/2004,20.610001,22.67,20.610001,21.58,21.58,0
23/03/2004,21.059999,21.33,20.01,20.67,20.67,0
24/03/2004,20.24,20.83,19.450001,19.809999,19.809999,0
25/03/2004,19.58,19.58,17.610001,17.879999,17.879999,0
26/03/2004,18.190001,18.23,16.67,17.33,17.33,0
29/03/2004,17.110001,17.17,16.290001,16.5,16.5,0
30/03/2004,16.68,16.799999,16.129999,16.280001,16.280001,0
31/03/2004,16.33,16.959999,16.23,16.74,16.74,0
01/04/2004,16.76,17.25,16.65,16.65,16.65,0
02/04/2004,15.21,16.549999,15.21,15.64,15.64,0
05/04/2004,16.17,16.639999,14.81,14.97,14.97,0
06/04/2004,15.35,15.53,15.07,15.32,15.32,0
07/04/2004,15.41,16.360001,15.34,15.76,15.76,0
08/04/2004,14.96,16.82,14.96,16.26,16.26,0
12/04/2004,15.71,16.120001,15,15.28,15.28,0
13/04/2004,15.29,17.98,15.29,17.26,17.26,0
14/04/2004,17.290001,17.709999,15.6,15.62,15.62,0
15/04/2004,16.02,16.780001,15.22,15.74,15.74,0
16/04/2004,15.59,15.69,14.77,14.94,14.94,0
