Trade Date,Expiry Date,Strike,Bid Price,Ask Price,Volume,Implied Vol,Delta ,Open Interest,Vega
2004-03-18,2004-04-17,1110.0,27.6,29.6,319,0.17999,0.59336,948,120.39
2004-03-18,2004-04-17,1120.0,21.3,22.8,1115,0.17058,0.52277,2297,123.64
2004-03-18,2004-04-17,1130.0,18.6,19.5,4189,0.16595,0.48431,14950,123.77
2004-03-18,2004-04-17,1130.0,16.0,17.2,1257,0.1642,0.44526,1841,122.71
2004-03-18,2004-04-17,1140.0,11.4,12.4,523,0.15737,0.36413,3435,116.65
2004-03-18,2004-04-17,1150.0,8.0,9.2,2899,0.15568,0.28978,22973,106.3
2004-03-18,2004-04-17,1160.0,5.2,5.8,387,0.14841,0.21368,5197,90.456
2004-03-18,2004-04-17,1170.0,3.4,4.2,103,0.14898,0.15904,3463,75.302
2004-03-18,2004-04-17,1180.0,2.9,3.2,453,0.14807,0.13376,21299,67.04
2004-03-18,2004-04-17,1190.0,1.25,1.75,287,0.14591,0.075006,696,43.992
2004-03-18,2004-04-17,1100.0,34.7,36.7,656,0.18885,0.65547,2573,114.22
2004-03-18,2004-04-17,1230.0,0.3,0.5,385,0.15659,0.022386,13374,16.553
2004-03-18,2004-04-17,1200.0,0.85,0.95,1157,0.14497,0.048707,12560,31.388
