Trade Date,Expiry Date,Strike,Bid Price,Ask Price,Volume,Implied Vol,Delta ,Open Interest,Vega
2004-03-18,2004-04-17,1010.0,1.7,2.2,1227,0.25577,-0.056052,2121,35.091
2004-03-18,2004-04-17,1010.0,1.95,2.45,2000,0.25331,-0.062653,0,38.292
2004-03-18,2004-04-17,1030.0,2.3,3.0,2380,0.23547,-0.078127,18738,45.377
2004-03-18,2004-04-17,1030.0,2.6,3.4,170,0.23303,-0.087462,0,49.399
2004-03-18,2004-04-17,1040.0,2.8,3.6,256,0.22696,-0.094401,7467,52.278
2004-03-18,2004-04-17,1050.0,4.0,4.6,1692,0.21455,-0.12622,33447,64.4
2004-03-18,2004-04-17,1070.0,5.7,6.9,255,0.19623,-0.18436,0,82.757
2004-03-18,2004-04-17,1080.0,6.5,7.4,209,0.19162,-0.20288,22932,87.73
2004-03-18,2004-04-17,1080.0,7.1,8.3,319,0.18726,-0.22361,4158,92.849
2004-03-18,2004-04-17,1110.0,14.0,15.6,675,0.16376,-0.39809,5388,119.83
2004-03-18,2004-04-17,1120.0,15.8,17.3,351,0.16027,-0.43575,3059,122.27
2004-03-18,2004-04-17,1120.0,17.6,19.2,2144,0.15609,-0.47548,6753,123.63
2004-03-18,2004-04-17,1130.0,20.5,21.4,7159,0.15595,-0.51655,20881,123.74
2004-03-18,2004-04-17,1140.0,27.3,29.3,133,0.14248,-0.64971,3314,114.93
2004-03-18,2004-04-17,1150.0,34.0,35.7,589,0.13775,-0.73482,18836,101.54
2004-03-18,2004-04-17,1100.0,11.6,12.4,6743,0.17247,-0.33107,35028,112.63
2004-03-18,2004-04-17,800.0,0.1,0.5,700,0.49737,-0.005804,2560,5.1309
2004-03-18,2004-04-17,925.0,0.5,0.8,6402,0.33533,-0.016817,11312,12.982
2004-03-18,2004-04-17,950.0,0.8,1.0,7159,0.31063,-0.024062,5946,17.59
2004-03-18,2004-04-17,975.0,0.9,1.4,667,0.2809,-0.032674,10309,22.693
2004-03-18,2004-04-17,995.0,1.4,1.6,5612,0.25974,-0.044134,13095,29.0
